상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800005687,부동산드림공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.8237101001033E+018,1,대지,330,3,인천광역시 부평구 부평동 330-3,282372008007,인천광역시 부평구 경원대로,1345,,2.8237101001033E+024,,인천광역시 부평구 경원대로 1345,403819,21389,,,,126.718564110634,37.4913203477554
MA010120220800081270,레드철판,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010738E+018,1,대지,738,21,인천광역시 부평구 부평동 738-21,282373154004,인천광역시 부평구 광장로,16,,2.82371010010224E+024,본건물,인천광역시 부평구 광장로 16,403825,21404,,1,,126.72335370452,37.4895656909419
MA010120220800084524,낫노멀커피,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010251E+018,1,대지,251,8,인천광역시 부평구 부평동 251-8,282374262028,인천광역시 부평구 경원대로1367번길,43,1,2.82371010010251E+024,,인천광역시 부평구 경원대로1367번길 43-1,403819,21389,,,,126.720512522441,37.4934153035979
MA010120220800087300,디저트39부평,중앙점,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010182E+018,1,대지,182,8,인천광역시 부평구 부평동 182-8,282372008007,인천광역시 부평구 경원대로,1420,,2.82371010010182E+024,,인천광역시 부평구 경원대로 1420,403819,21404,,1,,126.726684158962,37.4909970304324
MA010120220800139857,전기종올디자인케이스,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010738E+018,1,대지,738,21,인천광역시 부평구 부평동 738-21,282373154004,인천광역시 부평구 광장로,16,,2.82371010010224E+024,부평민자역사,인천광역시 부평구 광장로 16,403825,21404,,2,,126.72335370452,37.4895656909419
MA010120220800162627,에리카네일샵,부평점,S2,수리·개인,S207,이용·미용,S20703,네일숍,S96119,기타 미용업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010738E+018,1,대지,738,21,인천광역시 부평구 부평동 738-21,282373154004,인천광역시 부평구 광장로,16,,2.82371010010224E+024,부평민자역사,인천광역시 부평구 광장로 16,403825,21404,,1,,126.72335370452,37.4895656909419
MA010120220800177329,I-ZONE,,G2,소매,G218,장식품 소매,G21802,기념품점,G47842,기념품; 관광 민예품 및 장식용품 소매업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010451E+018,1,대지,451,105,인천광역시 부평구 부평동 451-105,282372008008,인천광역시 부평구 부평대로,121,,2.82371010010451E+024,,인천광역시 부평구 부평대로 121,403819,21379,,,,126.721112758363,37.5022916081542
MA010120220800203281,한성정보통신,,S2,수리·개인,S201,컴퓨터 수리,S20101,컴퓨터/노트북/프린터 수리업,S95110,컴퓨터 및 주변 기기 수리업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010539E+018,1,대지,539,2,인천광역시 부평구 부평동 539-2,282373154050,인천광역시 부평구 장제로,45,,2.82371010010539E+024,부평현대더로프트,인천광역시 부평구 장제로 45,403859,21404,,2,,126.728600338429,37.489559839947
MA010120220800230914,엘,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010798E+018,1,대지,798,4,인천광역시 부평구 부평동 798-4,282374262361,인천광역시 부평구 부평대로165번길,10,,2.82371010010798E+024,그랑시티,인천광역시 부평구 부평대로165번길 10,403825,21364,,1,,126.720251123331,37.5058935815834
MA010120220800233350,흄부평모다점,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47414,셔츠 및 블라우스 소매업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.8237101001007E+018,1,대지,70,127,인천광역시 부평구 부평동 70-127,282373154027,인천광역시 부평구 부평문화로,35,,2.8237101001007E+024,모다아울렛,인천광역시 부평구 부평문화로 35,403713,21387,,6,,126.719573500624,37.4935392189769
